[ 2017-06-20T16:21:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined variable: __GET IndexAction.class.php 第 11 行.
[ 2017-06-20T16:28:17+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:28:17+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000495s ]
[ 2017-06-20T16:28:17+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000531s ]
[ 2017-06-20T16:28:17+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:28:17+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:28:17+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000303s ]
[ 2017-06-20T16:28:17+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000322s ]
[ 2017-06-20T16:28:27+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:28:27+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000143s ]
[ 2017-06-20T16:28:27+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000174s ]
[ 2017-06-20T16:28:27+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:28:27+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000142s ]
[ 2017-06-20T16:28:27+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000172s ]
[ 2017-06-20T16:28:59+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:28:59+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000129s ]
[ 2017-06-20T16:28:59+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000156s ]
[ 2017-06-20T16:28:59+08:00 ] /mb_oa/index.php?m=Index&a=xiaobei | NOTIC: [8] Undefined index: m IndexAction.class.php 第 10 行.
[ 2017-06-20T16:29:40+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:29:40+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000538s ]
[ 2017-06-20T16:29:40+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000588s ]
[ 2017-06-20T16:29:40+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:29:40+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:29:40+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000339s ]
[ 2017-06-20T16:29:40+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000359s ]
[ 2017-06-20T16:29:40+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined index: c IndexAction.class.php 第 10 行.
